=== 捕获归属监控：请用【物理鼠标】点任务栏触发失灵，保持勿按 Win+L ===
DisplayPort 弹窗进程: []
[13:23:14] 左键=松开 捕获=无('') 前台='ZCode'(pid25000)
[13:23:15] 左键=松开 捕获=无('') 前台='ZCode'(pid25000)
[13:23:15] 左键=松开 捕获=无('') 前台='ZCode'(pid25000)
[13:23:16] 左键=松开 捕获=无('') 前台='ZCode'(pid25000)
[13:23:16] 左键=松开 捕获=无('') 前台='ZCode'(pid25000)
[13:23:17] 左键=松开 捕获=无('') 前台='ZCode'(pid25000)
[13:23:17] 左键=松开 捕获=无('') 前台='ZCode'(pid25000)
[13:23:18] 左键=松开 捕获=无('') 前台='ZCode'(pid25000)
[13:23:18] 左键=松开 捕获=无('') 前台='ZCode'(pid25000)
[13:23:19] 左键=松开 捕获=无('') 前台='ZCode'(pid25000)
[13:23:19] 左键=松开 捕获=无('') 前台='ZCode'(pid25000)
[13:23:20] 左键=松开 捕获=无('') 前台='ZCode'(pid25000)
[13:23:20] 左键=松开 捕获=无('') 前台='ZCode'(pid25000)
[13:23:21] 左键=松开 捕获=无('') 前台='ZCode'(pid25000)
[13:23:21] 左键=松开 捕获=无('') 前台='ZCode'(pid25000)
[13:23:22] 左键=松开 捕获=无('') 前台='ZCode'(pid25000)
[13:23:22] 左键=松开 捕获=无('') 前台='ZCode'(pid25000)
[13:23:23] 左键=松开 捕获=无('') 前台='ZCode'(pid25000)
[13:23:23] 左键=松开 捕获=无('') 前台='ZCode'(pid25000)
[13:23:24] 左键=松开 捕获=无('') 前台='ZCode'(pid25000)
[13:23:24] 左键=松开 捕获=无('') 前台='ZCode'(pid25000)
[13:23:25] 左键=松开 捕获=无('') 前台='ZCode'(pid25000)
[13:23:25] 左键=松开 捕获=无('') 前台='ZCode'(pid25000)
[13:23:26] 左键=松开 捕获=无('') 前台='ZCode'(pid25000)
[13:23:26] 左键=松开 捕获=无('') 前台='ZCode'(pid25000)
[13:23:27] 左键=松开 捕获=无('') 前台='ZCode'(pid25000)
[13:23:27] 左键=松开 捕获=无('') 前台='ZCode'(pid25000)
[13:23:28] 左键=松开 捕获=无('') 前台='ZCode'(pid25000)
[13:23:28] 左键=松开 捕获=无('') 前台='ZCode'(pid25000)
[13:23:29] 左键=松开 捕获=无('') 前台='ZCode'(pid25000)
[13:23:29] 左键=松开 捕获=无('') 前台='ZCode'(pid25000)
[13:23:30] 左键=松开 捕获=无('') 前台='ZCode'(pid25000)
[13:23:30] 左键=松开 捕获=无('') 前台='ZCode'(pid25000)
[13:23:31] 左键=松开 捕获=无('') 前台='ZCode'(pid25000)
[13:23:31] 左键=松开 捕获=无('') 前台='ZCode'(pid25000)
[13:23:32] 左键=松开 捕获=无('') 前台='ZCode'(pid25000)
[13:23:32] 左键=松开 捕获=无('') 前台='ZCode'(pid25000)
[13:23:33] 左键=按下 捕获=有('') 前台=''(pid9448)
[13:23:33] 左键=松开 捕获=有('') 前台=''(pid9448)
[13:23:34] 左键=松开 捕获=有('') 前台=''(pid9448)
[13:23:34] 左键=松开 捕获=有('') 前台=''(pid9448)
[13:23:35] 左键=松开 捕获=有('') 前台=''(pid9448)
[13:23:35] 左键=按下 捕获=有('') 前台=''(pid9448)
[13:23:36] 左键=松开 捕获=有('') 前台=''(pid9448)
[13:23:36] 左键=按下 捕获=有('') 前台=''(pid9448)
[13:23:37] 左键=松开 捕获=有('') 前台=''(pid9448)
[13:23:37] 左键=松开 捕获=有('') 前台=''(pid9448)
[13:23:38] 左键=松开 捕获=有('') 前台=''(pid9448)
[13:23:38] 左键=松开 捕获=有('') 前台=''(pid9448)
[13:23:39] 左键=按下 捕获=有('') 前台=''(pid9448)
[13:23:39] 左键=松开 捕获=有('') 前台=''(pid9448)
[13:23:40] 左键=松开 捕获=有('') 前台=''(pid9448)
[13:23:40] 左键=松开 捕获=有('') 前台=''(pid9448)
[13:23:41] 左键=松开 捕获=有('') 前台=''(pid9448)
[13:23:41] 左键=松开 捕获=有('') 前台=''(pid9448)
[13:23:42] 左键=松开 捕获=有('') 前台=''(pid9448)
[13:23:42] 左键=松开 捕获=有('') 前台=''(pid9448)
[13:23:43] 左键=松开 捕获=有('') 前台=''(pid9448)
[13:23:43] 左键=松开 捕获=有('') 前台=''(pid9448)
[13:23:44] 左键=松开 捕获=有('') 前台=''(pid9448)
[13:23:44] 左键=松开 捕获=有('') 前台=''(pid9448)
[13:23:45] 左键=松开 捕获=有('') 前台=''(pid9448)
[13:23:45] 左键=松开 捕获=有('') 前台=''(pid9448)
[13:23:46] 左键=松开 捕获=有('') 前台=''(pid9448)
[13:23:46] 左键=松开 捕获=有('') 前台=''(pid9448)
[13:23:47] 左键=松开 捕获=有('') 前台=''(pid9448)
